favourites,followers,friends,likes,lists,retweets,statuses
832,847,1024,0,157,0,24135
22251,627,466,21,34,5,76544
3,5285,279,0,74,0,22334
1,140,93,0,270,0,50411
1585,527,2635,2,45,1,8295
2536,152,274,9,3,0,3483
40674,1637,1125,11,23,3,17533
8254,109,116,2,1,0,689
4450,265,524,0,2,0,2314
4,79,1,0,26,0,113099
64639,2522,269,0,54,0,103312
14896,423,166,4,6,1,14157
8369,992,506,9,4,0,34066
810,9078,6910,0,1290,0,343203
2627,293,273,0,0,0,4532
2,403,1269,0,44,0,12646
7261,769,767,2,6,1,12205
55068,343,174,6,9,0,88005
1343,5419,2598,0,170,0,230406
2971,117,74,1,12,0,34434
129,10686,321,0,100,0,110218
1343,5419,2598,0,170,0,230406
11959,699,475,0,19,0,43349
12163,98,80,2,1,1,629
8647,293,326,2,5,0,7752
13267,13309,9101,0,489,2,234204
6434,472,286,0,4,0,1785
6,155,244,0,26,0,20931
17513,799,56,43,17,6,9678
29266,277,230,0,39,0,39381
40409,249,154,1,13,0,25058
0,2369,2608,0,48,0,12950
16897,480,690,4,13,0,5011
810,9078,6910,0,1290,0,343203
0,126,37,0,144,0,55166
810,9074,6908,0,1290,0,343168
154,30,20,0,8,0,204
50233,644,199,0,13,0,29483
3965,526,438,1,2,0,2733
2972,2436,842,2,333,1,32798
3,56,49,0,16,0,40675
79731,1501,758,1,50,0,75752
6643,128,347,0,4,0,12343
0,31,94,0,2,0,977
2,7581,2607,0,33,0,47836
8543,296,559,1,4,0,2634
0,211,429,0,69,0,7932
2775,151,490,2,3,3,877
8067,667,514,0,18,0,13266
1,152,18,6,6,5,2122
810,9078,6910,0,1290,0,343203
42,20989,21491,0,284,0,18179
11764,476,459,0,4,0,5366
3317,6694,7046,3,130,0,1820
26874,5887,5644,0,777,0,119973
18320,3397,2242,1,82,0,138637
327,1161,1210,0,170,0,22594
1,30,109,0,21,0,17286
242,673,590,0,228,0,129183
13373,618,152,9,5,3,12713
310,1203,1232,0,184,0,22523
5877,112,304,10,1,6,1172
11983,2728,148,17,146,3,29923
223,2043,1451,0,20,0,102043
11585,1549,128,7,18,0,7837
1145,1176,963,0,322,0,5761
856,858,1040,0,182,0,24295
325,1212,1227,0,175,0,22516
6,155,244,0,26,0,20931
3158,381,449,4,1,1,3277
13267,13309,9101,0,489,0,234204
13506,4123,1323,6,58,0,103172
3,115,100,0,2,0,979
76287,672,365,4,7,0,67416
394,171,250,0,1,0,1417
325,1212,1227,0,175,0,22516
13267,13309,9101,0,489,0,234204
810,9078,6910,0,1290,0,343203
4049,68,182,1,9,0,6965
4263,341,280,3,10,1,7898
14144,4413,1704,0,17,0,24517
917,177,77,0,0,0,10076
34579,682,637,8,6,1,42648
0,521,229,0,280,0,324316
810,9078,6910,0,1290,0,343203
4353,384,487,11,0,4,3831
2782,481,424,19,2,3,2975
91,3588,2433,0,138,0,174268
1028,1263,1328,0,146,0,21309
30,433,313,0,7,0,2603
2,89,212,0,25,0,4918
0,92,768,0,21,0,1244
0,11,57,0,9,0,4699
11559,730,489,4,3,0,63193
250,925,952,0,155,0,22185
17,278,257,0,3,0,2526
6044,394,1214,2,13,0,17183
6519,8397,4861,0,156,0,154639
0,521,229,0,280,0,324316
1746,10344,1410,1,836,1,802807
4692,757,1276,1,1,0,14234
810,9078,6910,0,1290,0,343203
15,63,173,0,1,0,6870
810,9078,6910,0,1290,0,343203
6643,128,347,0,4,0,12343
2,89,212,0,25,0,4918
17288,869,701,11,9,0,19258
6643,128,347,1,4,0,12343
810,9078,6910,0,1290,0,343203
29389,263,186,1,15,1,29289
77,140,129,0,0,0,4433
1279,88,72,3,1,0,783
71907,1089,483,0,31,0,193628
310,1203,1232,0,184,0,22523
6861,51,150,0,3,0,8498
0,21,130,0,15,0,1514
1009,2388,3017,0,385,0,313607
1,583,492,0,21,0,281961
0,225,60,0,133,0,87846
3731,375,546,1,47,0,4849
0,225,60,0,133,0,87846
1009,2388,3017,0,385,0,313623
11630,1844,59,0,24,0,19694
4,79,1,0,26,0,113099
0,8,8,0,7,0,8160
1028,1263,1328,0,146,0,21309
3141,2562,2975,2,425,0,6444
21718,835,675,1,2,0,8487
912,896,1072,0,174,0,24417
4016,14704,10398,1,935,4,88625
4817,347,412,0,16,0,55075
865,990,974,0,193,0,27491
30,433,313,0,7,0,2603
810,9078,6910,0,1290,0,343203
1,140,93,0,270,0,50411
223,2043,1451,0,20,0,102043
33717,101000,85886,2,2079,6,702685
4,79,1,0,26,0,113099
865,990,974,0,193,0,27491
854,900,1116,0,163,0,24558
810,9078,6910,0,1290,0,343203
888,880,851,0,194,0,27531
13710,9318,4331,2,235,1,26822
816,234,167,1,0,1,2108
204,9547,8510,1,359,0,32184
2678,945,493,0,3827,0,206048
28,6328,6843,0,144,0,15135
98,2073,250,0,553,0,7726
66,67,71,12,0,0,47
1065,1203,740,0,3,0,10545
810,9078,6910,0,1290,0,343203
1589,2150,1161,0,28,0,4851
6643,128,347,0,4,0,12343
0,211,429,0,69,0,7932
810,9078,6910,1,1290,0,343203
5486,164,86,0,7,0,1389
11912,822,1126,1,13,0,5255
0,8,8,0,7,0,8160
2936,212,54,0,13,0,113160
0,126,37,0,144,0,55166
21806,1958,1643,1,88,0,159988
80896,5074,997,4,248,0,19234
2474,3245,195,0,219,0,208659
810,9078,6910,0,1290,1,343203
865,990,974,0,193,0,27491
242,673,590,0,228,0,129197
308,1165,1176,0,174,0,22500
810,9078,6910,0,1290,0,343203
786,246,16,1,3,0,12690
29733,3260,133,14,20,4,27920
1631,1668,519,0,12,0,23266
23308,228,325,31,7,20,26732
6121,857,130,0,10,0,19524
43405,2229,515,2,12,0,106421
942,1069,998,0,180,0,27840
5272,358,279,1,0,0,7289
810,9078,6910,2,1290,1,343203
2972,2436,842,0,333,0,32798
4010,2073,107,6,7,0,4096
14237,2082,2632,0,76,0,54097
13267,13309,9101,0,489,0,234204
90,602,1805,0,79,0,24448
22429,258,332,0,30,0,34468
22785,591,557,10,5,0,32042
1944,314,351,1,25,0,1604
810,9078,6910,1,1290,1,343203
18227,1548,1456,9,49,4,13610
810,9078,6910,0,1290,0,343203
1431,54,95,3,1,0,2646
810,9078,6910,0,1290,0,343203
1,140,93,0,270,0,50411
1821,5849,1514,2,53,1,4858
121054,4332,54,52,76,43,76915
28164,1231,420,5,7,1,62232
79478,2215,96,0,94,0,123676
2135,326,317,4,4,0,4466
810,9078,6910,0,1290,0,343203
9758,528,428,1,18,0,15396
1,16,97,0,3,0,744
38655,8074,221,2,166,0,115675
6280,226,205,5,1,1,4298
59,3844,54,0,127,0,22757
26874,5887,5644,0,776,0,119973
3,137,234,0,2,0,1573
810,9078,6910,0,1290,0,343203
6111,21,34,0,0,0,23385
431,231,424,0,36,0,2272
13267,13309,9101,1,489,0,234204
18325,281,132,8,10,0,21016
15,4,39,0,1,0,39
47795,133,119,1,5,0,83994
2597,219,85,5,6,4,15646
3796,501,23,58,0,21,95
0,211,429,0,69,0,7932
795,450,594,0,2,0,11442
4027,1740,612,0,75,0,5573
90,602,1805,0,79,0,24448
1,836,982,0,3,0,12276
242,673,590,0,228,0,129191
188,162,275,0,4,0,2646
8827,13348,13581,0,286,0,34709
59582,1338,991,5,16,2,35211
9525,1921,1913,1,289,1,13605
26874,5887,5644,0,777,0,119973
69,136,105,1,15,1,56039
4,79,1,0,26,0,113099
810,9074,6908,0,1290,0,343168
327,1161,1210,0,170,0,22586
810,9078,6910,0,1290,0,343203
14564,1448,1999,6,7,2,7798
912,896,1072,0,174,0,24417
1009,2388,3017,1,385,1,313654
56161,1623,343,1,11,0,111515
45366,717,281,1,38,0,159504
469,1119,1001,0,117,0,2098
2039,668,16,1,9,0,36396
856,858,1040,0,182,0,24295
3471,173,111,0,0,0,2669
810,9074,6908,0,1290,0,343168
91,200,154,0,4,0,1291
9713,78,156,0,0,0,17955
91,3588,2433,0,138,0,174268
15383,1437,245,0,56,0,42422
43885,330,70,2,2,0,5190
10,960,169,0,2234,0,510077
20285,2665,177,0,31,0,45465
1780,22,18,1,1,0,3539
11585,1549,128,2,18,1,7837
2,7581,2607,0,33,0,47836
11016,1556,498,0,4,0,60684
1636,246,225,1,1,0,362
1125,869,890,0,155,0,28112
0,5044,3809,0,27,0,44708
0,521,229,0,280,0,324316
242,673,590,0,228,0,129197
20192,744,189,17,15,0,28868
679,148,291,1,22,0,1720
2871,1918,1651,0,6,0,66660
33719,1568,447,0,21,0,52572
20378,1346,2302,3,16,0,60041
853,923,1088,0,181,0,24672
40,120,134,4,0,2,417
282,1440,1449,0,166,0,21132
888,880,851,0,194,0,27536
6,155,244,0,26,0,20931
13633,478,395,0,37,0,45262
0,521,229,0,280,0,324316
39236,1043,94,2,12,0,22450
13193,421,448,1,17,0,62583
2151,2162,410,1,50,0,165342
